Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,1,7.5,0.023809523809523808
3,10,90,0,3.0,0.025925925925925925
3,10,60,0,3.0,0.03888888888888889
5,10,4,1,7.5,0.08333333333333333
5,10,90,0,5.0,0.011111111111111112
6,10,2,1,8.0,0.125
4,10,180,0,4.0,0.008333333333333333
5,10,5,1,7.5,0.06666666666666667
6,10,60,0,6.0,0.011111111111111112
4,10,21,1,7.0,0.02040816326530612
5,10,6,1,7.5,0.05555555555555555
5,10,21,1,7.5,0.015873015873015872
5,10,30,0,5.0,0.03333333333333333
7,10,30,0,7.0,0.014285714285714285
4,10,30,0,4.0,0.05
5,10,14,1,7.5,0.023809523809523808
6,10,14,1,8.0,0.017857142857142856
6,10,21,1,8.0,0.011904761904761904
5,10,90,0,5.0,0.011111111111111112
5,10,60,0,5.0,0.016666666666666666
3,10,30,0,3.0,0.07777777777777778
5,10,7,1,7.5,0.047619047619047616
6,10,60,0,6.0,0.011111111111111112
4,10,21,0,4.0,0.07142857142857142
4,10,14,1,7.0,0.030612244897959183
5,10,21,1,7.5,0.015873015873015872
5,10,30,0,5.0,0.03333333333333333
3,10,21,1,6.5,0.02564102564102564
4,10,30,0,4.0,0.05
5,10,14,1,7.5,0.023809523809523808
6,10,14,1,8.0,0.017857142857142856
6,10,21,0,6.0,0.031746031746031744
3,10,30,1,6.5,0.017948717948717947
7,10,14,0,7.0,0.030612244897959183
2,10,30,1,6.0,0.022222222222222223
