Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
4,10,5,0,4.0,0.3
9,10,7,1,9.5,0.007518796992481203
9,10,21,0,9.0,0.005291005291005291
9,10,14,0,9.0,0.007936507936507936
9,10,30,0,9.0,0.003703703703703704
9,10,6,0,9.0,0.018518518518518517
9,10,5,0,9.0,0.022222222222222223
9,10,4,0,9.0,0.027777777777777776
5,10,1,1,7.5,0.3333333333333333
8,10,14,0,8.0,0.017857142857142856
8,10,7,0,8.0,0.03571428571428571
4,10,1,1,7.0,0.42857142857142855
5,10,2,1,7.5,0.16666666666666666
6,10,6,0,6.0,0.1111111111111111
4,10,2,1,7.0,0.21428571428571427
5,10,3,1,7.5,0.1111111111111111
6,10,5,0,6.0,0.13333333333333333
5,10,4,1,7.5,0.08333333333333333
6,10,7,1,8.0,0.03571428571428571
9,10,30,0,9.0,0.003703703703703704
1,10,1,1,5.5,0.8181818181818182
1,10,2,1,5.5,0.4090909090909091
5,10,6,0,5.0,0.16666666666666666
5,10,7,1,7.5,0.047619047619047616
1,10,3,1,5.5,0.2727272727272727
6,10,6,0,6.0,0.1111111111111111
4,10,5,1,7.0,0.08571428571428572
5,10,5,1,7.5,0.06666666666666667
6,10,5,0,6.0,0.13333333333333333
4,10,6,1,7.0,0.07142857142857142
6,10,7,0,6.0,0.09523809523809523
4,10,7,1,7.0,0.061224489795918366
7,10,5,0,7.0,0.08571428571428572
